STA,Lat,Long,Segment
26785,-6.219338798,106.5619802,Bitung - Cikupa
26790,-6.219324357,106.5619374,Bitung - Cikupa
26795,-6.219309816,106.5618946,Bitung - Cikupa
26800,-6.219295275,106.5618518,Bitung - Cikupa
26805,-6.219280688,106.5618091,Bitung - Cikupa
26810,-6.219266111,106.5617663,Bitung - Cikupa
26815,-6.219251388,106.5617236,Bitung - Cikupa
26820,-6.219236567,106.5616809,Bitung - Cikupa
26825,-6.219221745,106.5616382,Bitung - Cikupa
26830,-6.219206878,106.5615955,Bitung - Cikupa
26835,-6.21919202,106.5615529,Bitung - Cikupa
26840,-6.219177089,106.5615102,Bitung - Cikupa
26845,-6.219162113,106.5614676,Bitung - Cikupa
26850,-6.219147111,106.561425,Bitung - Cikupa
26855,-6.219131854,106.5613824,Bitung - Cikupa
26860,-6.219116607,106.5613399,Bitung - Cikupa
26865,-6.219101323,106.5612974,Bitung - Cikupa
26870,-6.219086013,106.5612549,Bitung - Cikupa
26875,-6.219070711,106.5612124,Bitung - Cikupa
26880,-6.219055418,106.5611698,Bitung - Cikupa
26885,-6.219040126,106.5611273,Bitung - Cikupa
26890,-6.219024716,106.5610848,Bitung - Cikupa
26895,-6.219009215,106.5610424,Bitung - Cikupa
26900,-6.218993705,106.561,Bitung - Cikupa
26905,-6.218978095,106.5609576,Bitung - Cikupa
26910,-6.218962486,106.5609152,Bitung - Cikupa
26915,-6.21894675,106.5608728,Bitung - Cikupa
26920,-6.218930923,106.5608305,Bitung - Cikupa
26925,-6.218915087,106.5607882,Bitung - Cikupa
26930,-6.218899116,106.5607459,Bitung - Cikupa
26935,-6.218883144,106.5607036,Bitung - Cikupa
26940,-6.218867018,106.5606614,Bitung - Cikupa
26945,-6.218850784,106.5606192,Bitung - Cikupa
26950,-6.218834559,106.5605771,Bitung - Cikupa
26955,-6.218818334,106.5605349,Bitung - Cikupa
26960,-6.2188021,106.5604927,Bitung - Cikupa
26965,-6.218785739,106.5604506,Bitung - Cikupa
26970,-6.218769288,106.5604085,Bitung - Cikupa
26975,-6.218752836,106.5603664,Bitung - Cikupa
26980,-6.21873633,106.5603244,Bitung - Cikupa
26985,-6.218719834,106.5602823,Bitung - Cikupa
26990,-6.218703201,106.5602403,Bitung - Cikupa
26995,-6.218686487,106.5601983,Bitung - Cikupa
27000,-6.218669764,106.5601563,Bitung - Cikupa
27005,-6.218652932,106.5601144,Bitung - Cikupa
27010,-6.218636101,106.5600725,Bitung - Cikupa
27015,-6.218619196,106.5600306,Bitung - Cikupa
27020,-6.218602238,106.5599887,Bitung - Cikupa
27025,-6.218585279,106.5599468,Bitung - Cikupa
27030,-6.218568167,106.559905,Bitung - Cikupa
27035,-6.218551055,106.5598632,Bitung - Cikupa
27040,-6.218533942,106.5598213,Bitung - Cikupa
27045,-6.21851683,106.5597795,Bitung - Cikupa
27050,-6.21849969,106.5597377,Bitung - Cikupa
27055,-6.21848237,106.559696,Bitung - Cikupa
27060,-6.218465049,106.5596542,Bitung - Cikupa
27065,-6.218447556,106.5596126,Bitung - Cikupa
27070,-6.218429955,106.559571,Bitung - Cikupa
27075,-6.218412326,106.5595294,Bitung - Cikupa
27080,-6.218394562,106.5594878,Bitung - Cikupa
27085,-6.218376789,106.5594463,Bitung - Cikupa
27090,-6.218358988,106.5594047,Bitung - Cikupa
27095,-6.218341169,106.5593632,Bitung - Cikupa
27100,-6.218323342,106.5593217,Bitung - Cikupa
27105,-6.218305351,106.5592802,Bitung - Cikupa
27110,-6.21828736,106.5592388,Bitung - Cikupa
27115,-6.21826927,106.5591974,Bitung - Cikupa
27120,-6.218251116,106.559156,Bitung - Cikupa
27125,-6.218232926,106.5591146,Bitung - Cikupa
27130,-6.218214528,106.5590734,Bitung - Cikupa
27135,-6.218196121,106.5590321,Bitung - Cikupa
27140,-6.218177605,106.5589909,Bitung - Cikupa
27145,-6.218159016,106.5589497,Bitung - Cikupa
27150,-6.218140419,106.5589085,Bitung - Cikupa
27155,-6.218121749,106.5588674,Bitung - Cikupa
27160,-6.218103079,106.5588262,Bitung - Cikupa
